T1	0	4404	1
T1	0	3904	0
T1	0	2867	1
T1	0	5526	1
T1	0	4258	1
T2	0	5182	0
T2	0	5094	1
T2	0	209	1
T2	0	483	1
T2	0	2522	0
T3	0	204	1
T3	0	120	1
T3	0	2897	0
T3	0	3293	1
T3	0	373	0
T4	0	2683	1
T4	0	1749	1
T4	0	3258	1
T4	0	3966	0
T4	0	283	0
V1	0	26	1
V1	0	3956	1
V1	0	2095	1
V1	0	2766	1
V1	0	2574	0
V2	0	5094	1
V2	0	3074	1
V2	0	5182	0
V2	0	2379	1
V2	0	5095	1
V3	0	120	1
V3	0	3746	0
V3	0	3509	0
V3	0	2158	0
V3	0	373	0
V4	0	1749	1
V4	0	2683	1
V4	0	3258	1
V4	0	4959	0
V4	0	3144	0
B1	0	3904	0
B1	0	4404	1
B1	0	2867	1
B1	0	5526	1
B1	0	3981	0
B2	0	5182	0
B2	0	5094	1
B2	0	209	1
B2	0	483	1
B2	0	2522	0
B3	0	204	1
B3	0	2897	0
B3	0	120	1
B3	0	3293	1
B3	0	373	0
B4	0	2683	1
B4	0	3966	0
B4	0	1749	1
B4	0	3919	0
B4	0	4703	0
